Unnamed: 0.1,"('Crash Point',)","('datetime',)"
0,1.19x,04:38.5
0,1.00x,04:48.7
0,2.03x,05:13.7
0,32.49x,06:22.3
0,131.06x,07:53.7
0,1.12x,08:06.3
0,3.79x,08:39.5
0,3.10x,09:08.7
0,1.49x,09:25.7
0,2.85x,09:53.8
0,1.46x,10:10.5
0,2.40x,10:35.8
0,5.20x,11:13.7
0,2.45x,11:39.0
0,1.91x,12:01.7
0,1.57x,12:19.4
0,1.12x,12:31.8
0,1.63x,12:52.3
0,1.74x,13:12.1
0,4.01x,13:46.0
0,1.17x,13:59.0
0,2.30x,14:25.4
0,1.68x,14:44.6
0,26.63x,15:50.0
0,12.52x,16:42.3
0,1.46x,16:58.8
0,1.19x,17:12.2
0,2.31x,17:37.0
0,1.32x,17:53.1
0,1.17x,18:06.5
0,21.32x,19:08.0
0,2.53x,19:34.6
0,1.83x,19:55.2
0,1.01x,20:05.8
0,1.49x,20:23.0
0,1.42x,20:39.4
0,1.45x,20:56.2
0,2.92x,21:25.0
0,2.41x,21:49.9
0,1.26x,22:04.1
0,1.40x,22:20.5
0,7.12x,23:03.7
0,2.77x,23:31.0
0,1.36x,23:46.5
0,4.46x,24:24.0
0,1.57x,24:41.9
0,1.61x,25:00.4
0,3.28x,25:30.6
0,1.61x,25:48.9
0,1.13x,26:01.7
0,1.00x,26:12.4
0,41.33x,27:25.2
0,3.66x,27:57.0
0,1.01x,28:07.5
0,12.91x,29:01.0
0,1.64x,29:19.5
0,1.70x,29:39.0
0,4.56x,30:16.7
0,1.34x,30:31.9
0,3.32x,31:02.6
0,1.89x,31:23.5
0,4.26x,31:58.4
0,1.66x,32:17.2
0,1.33x,32:34.3
0,6.90x,33:17.0
0,1.88x,33:37.7
0,1.04x,33:48.9
0,3.59x,34:22.7
0,1.14x,34:35.1
0,2.44x,35:00.6
0,3.49x,35:31.8
0,6.71x,36:14.0
0,1.49x,36:30.8
0,3.36x,37:01.7
0,1.01x,37:12.2
0,1.99x,37:37.2
0,1.24x,37:51.3
0,1.61x,38:10.2
0,1.56x,38:28.4
0,47.72x,39:45.0
0,3.89x,40:17.9
0,1.40x,40:33.9
0,1.00x,40:44.5
0,25.71x,42:01.5
0,2.84x,42:29.1
0,11.81x,43:20.7
0,2.14x,43:43.6
0,1.16x,43:56.4
0,1.09x,44:08.5
0,3.07x,44:38.8
0,6.15x,45:19.1
0,1.09x,45:30.9
0,2.56x,45:59.2
0,1.56x,46:17.1
0,3.10x,46:46.6
0,12.82x,47:39.5
0,2.35x,48:04.0
0,6.04x,48:44.3
0,1.52x,49:02.1
0,1.04x,49:13.2
0,1.89x,49:36.1
0,1.19x,49:49.4
0,1.00x,50:00.5
0,1.80x,50:21.9
0,33.87x,51:31.0
0,1.00x,51:41.1
0,1.05x,51:55.3
0,1.43x,52:11.9
0,2.95x,52:40.4
0,1.39x,52:56.2
0,42.01x,54:09.6
0,34.37x,55:18.9
0,1.29x,55:33.5
0,3.46x,56:05.0
0,1.95x,56:26.7
0,1.01x,56:37.1
0,3.37x,57:09.5
0,5.91x,57:49.4
0,1.08x,58:02.2
0,1.78x,58:21.9
0,2.01x,58:44.2
0,1.19x,58:57.3
0,1.07x,59:09.5
0,3.22x,59:39.9
0,15.24x,00:35.9
0,2.01x,00:57.8
0,2.43x,01:22.9
0,2.77x,01:50.4
0,3.37x,02:20.8
0,4.06x,02:55.2
0,1.25x,03:08.6
0,1.59x,03:26.8
0,1.11x,03:39.3
0,1.30x,03:55.4
0,4.36x,04:29.5
0,7.76x,05:14.0
0,3.56x,05:45.6
0,1.97x,06:07.3
0,3.49x,06:40.7
0,9.22x,07:29.6
0,2.98x,07:58.0
0,1.00x,08:08.4
0,1.67x,08:27.5
0,1.63x,08:49.9
0,1.04x,08:59.0
